,year_of_birth,height,weight,scars,colour,year_of_discovery,number_of_lost_teeth,life_length
1,-1291,59.4036501532799,15.3239108463378,7,red,1700,25,1368.43310539739
2,1589,46.213737103586794,11.808194123083197,5,red,1700,28,1377.0474089478303
3,1528,49.172331704048396,13.344815894201,6,red,1700,38,1603.96322192105
4,1645,48.2917675278117,13.2742710526371,5,green,1700,33,1434.4221595831698
5,-8,49.9967926285042,13.0875652262661,1,red,1700,18,985.4904813930119
6,915,45.408764482223,11.4871731659661,2,red,1700,20,969.568170994516
7,-1557,50.7345530226297,14.516221871129801,3,black,1700,28,1255.08872501735
8,-1144,45.451121110531,11.9357283446161,7,blue,1700,29,1498.94570534271
9,-66,65.7212234921918,17.7593324025714,6,red,1700,2,886.825360010464
10,-165,54.2056768388097,14.2958608008636,32,red,1700,22,2298.9353853436
11,1796,56.453761662849104,14.248957065290101,29,red,1700,25,2261.24756588487
12,-1807,46.5581219412185,12.1157970840992,3,blue,1701,0,710.395094218118
13,-1746,46.146186182256095,14.4241524062253,8,blue,1701,4,1016.3742806282801
14,-1552,47.5964102919273,12.3985751268236,3,red,1701,20,1103.52081109807
15,605,44.056807829509296,11.3856684389698,18,green,1701,7,1363.65515886942
16,731,53.899409260156204,14.6017372541461,3,red,1701,27,1170.22909680327
17,-1767,44.1343385257525,12.1013072121364,16,green,1701,21,1617.7094991912197
18,367,56.257918959302906,15.926301245914098,6,red,1701,4,941.232855864714
19,120,47.521254554815904,14.8967502749839,0,red,1701,20,994.270493449079
20,1439,51.9840302716845,13.308388579570698,9,red,1701,20,1254.2950267768401
21,1517,40.5420182571507,15.6572539878104,4,red,1701,15,1028.74235265733
22,-1665,47.6722353376441,11.9471904834731,6,red,1701,8,961.471659055551
23,-814,47.409570549506505,13.8496941506218,11,green,1701,32,1683.2844207687199
24,-1229,50.7780342264257,13.1572887723839,5,blue,1701,3,885.9553204957249
25,721,65.6660302821634,17.6470772740033,2,red,1701,35,1276.18254801937
26,1437,44.0645383018241,11.685220714639499,45,blue,1701,14,2597.29164251762
27,-223,50.6268989261843,13.5597465998224,17,red,1701,18,1649.5969106922
28,433,58.83255382646811,16.212529757374302,0,green,1701,22,1060.57832314504
29,1652,46.885480694298,13.463929133362,12,black,1701,6,1205.22792237213
30,-1755,51.752316296508894,17.3719575440874,1,red,1701,39,1415.3750085019199
31,-1056,65.8128444740439,17.625505639242,7,red,1701,14,1185.01080698826
32,369,43.508169376912,11.791494470435698,13,green,1701,5,1229.61364662753
33,379,48.528716703372496,12.2784991342541,8,red,1701,37,1654.15630351096
34,676,50.9457807705157,14.7659112367027,10,green,1701,23,1360.74700546748
35,25,46.806503690355704,12.3251949249639,11,green,1701,19,1368.51961894753
36,-1389,38.9497709920397,11.542017919340301,8,red,1702,39,1680.2699565544401
37,-575,59.7403187835445,15.9133199613607,1,red,1702,17,977.541813545138
38,-1897,45.359487779084795,12.368261874523,12,blue,1702,14,1353.0899210868401
39,-1460,44.0362002173748,11.8620786232044,13,blue,1702,12,1354.06516200188
40,-880,46.0934191066607,11.644196860022399,14,red,1702,7,1290.68291164545
41,-1492,64.62210858901979,19.102097755660697,4,blue,1702,21,1174.3503763729302
42,1552,43.2208849304695,13.5114064783778,25,blue,1702,30,2209.82712681291
43,-615,60.4794724627973,15.872463652999402,24,red,1702,9,1742.3337361093302
44,-1138,45.3225261370295,12.4147683154981,4,blue,1702,39,1544.9907070104598
