Risk,Sex,Job,Housing,Saving_accounts,Checking_account,Credit_amount,Duration,Purpose,Age
1,male,2,own,not_known,little,1169,6,radio/TV,67
0,female,2,own,little,moderate,5951,48,radio/TV,22
1,male,1,own,little,not_known,2096,12,education,49
1,male,2,free,little,little,7882,42,furniture/equipment,45
0,male,2,free,little,little,4870,24,car,53
1,male,1,free,not_known,not_known,9055,36,education,35
1,male,2,own,quite rich,not_known,2835,24,furniture/equipment,53
1,male,3,rent,little,moderate,6948,36,car,35
1,male,1,own,rich,not_known,3059,12,radio/TV,61
0,male,3,own,little,moderate,5234,30,car,28
0,female,2,rent,little,moderate,1295,12,car,25
0,female,2,rent,little,little,4308,48,business,24
1,female,2,own,little,moderate,1567,12,radio/TV,22
0,male,1,own,little,little,1199,24,car,60
1,female,2,rent,little,little,1403,15,car,28
0,female,1,own,moderate,little,1282,24,radio/TV,32
1,male,2,own,not_known,not_known,2424,24,radio/TV,53
1,male,2,own,not_known,little,8072,30,business,25
0,female,3,free,little,moderate,12579,24,car,44
1,male,2,own,quite rich,not_known,3430,24,radio/TV,31
1,male,2,own,little,not_known,2134,9,car,48
1,male,2,rent,quite rich,little,2647,6,radio/TV,44
1,male,1,rent,little,little,2241,10,car,48
1,male,2,own,moderate,moderate,1804,12,car,44
1,male,2,own,not_known,not_known,2069,10,furniture/equipment,26
1,male,1,own,little,little,1374,6,furniture/equipment,36
1,male,1,own,little,not_known,426,6,radio/TV,39
1,female,2,rent,rich,rich,409,12,radio/TV,42
1,male,2,own,little,moderate,2415,7,radio/TV,34
0,male,2,own,little,little,6836,60,business,63
1,male,2,own,rich,moderate,1913,18,business,36
1,male,2,own,little,little,4020,24,furniture/equipment,27
1,male,2,own,moderate,moderate,5866,18,car,30
1,male,1,rent,not_known,not_known,1264,12,business,57
1,female,3,own,little,rich,1474,12,furniture/equipment,33
0,male,1,own,little,moderate,4746,45,radio/TV,25
1,male,2,free,little,not_known,6110,48,education,31
0,male,2,own,little,rich,2100,18,radio/TV,37
1,male,2,own,little,rich,1225,10,domestic appliances,37
1,male,2,own,little,moderate,458,9,radio/TV,24
1,male,3,own,quite rich,not_known,2333,30,radio/TV,30
1,male,2,own,quite rich,moderate,1158,12,radio/TV,26
1,male,1,own,little,moderate,6204,18,repairs,44
1,male,2,rent,moderate,little,6187,30,car,24
0,female,1,free,little,little,6143,48,car,58
1,female,3,own,little,not_known,1393,11,car,35
1,male,2,own,quite rich,not_known,2299,36,radio/TV,39
1,female,0,rent,quite rich,little,1352,6,car,23
1,male,1,own,little,not_known,7228,11,car,39
1,female,2,own,moderate,not_known,2073,12,radio/TV,28
1,male,1,own,not_known,moderate,2333,24,furniture/equipment,29
1,male,3,own,little,moderate,5965,27,car,30
1,male,2,own,little,not_known,1262,12,radio/TV,25
1,male,2,own,not_known,not_known,3378,18,car,31
0,male,2,free,little,moderate,2225,36,car,57
1,male,1,own,not_known,not_known,783,6,car,26
0,male,3,own,not_known,moderate,6468,12,radio/TV,52
1,female,2,own,little,not_known,9566,36,radio/TV,31
1,female,3,own,little,rich,1961,18,car,23
0,female,1,rent,little,little,6229,36,furniture/equipment,23
1,male,2,own,little,moderate,1391,9,business,27
1,male,2,own,not_known,moderate,1537,15,radio/TV,50
0,male,3,free,little,moderate,1953,36,business,61
0,male,2,own,little,moderate,14421,48,business,25
1,female,2,own,little,not_known,3181,24,radio/TV,26
1,male,2,own,not_known,not_known,5190,27,repairs,48
1,female,2,own,little,not_known,2171,12,radio/TV,29
1,male,2,own,rich,moderate,1007,12,car,22
0,male,2,free,little,not_known,1819,36,education,37
1,female,2,own,not_known,not_known,2394,36,radio/TV,25
1,female,2,own,little,not_known,8133,36,car,30
1,male,1,rent,not_known,not_known,730,7,radio/TV,46
1,male,3,free,little,little,1164,8,vacation/others,51
1,female,1,own,little,moderate,5954,42,business,41
0,male,3,own,not_known,little,1977,36,education,40
1,male,3,free,little,little,1526,12,car,66
0,male,2,own,little,little,3965,42,radio/TV,34
1,male,2,own,little,moderate,4771,11,radio/TV,51
1,male,1,own,not_known,not_known,9436,54,car,39
1,male,2,own,little,moderate,3832,30,furniture/equipment,22
0,female,2,own,not_known,not_known,5943,24,radio/TV,44
1,male,2,own,quite rich,not_known,1213,15,radio/TV,47
1,female,1,rent,moderate,not_known,1568,18,business,24
1,female,1,own,little,little,1755,24,vacation/others,58
1,male,1,own,little,little,2315,10,radio/TV,52
1,female,3,own,little,not_known,1412,12,business,29
1,female,2,own,little,moderate,1295,18,furniture/equipment,27
0,male,2,free,moderate,moderate,12612,36,education,47
1,male,3,own,moderate,little,2249,18,car,30
0,male,2,own,little,little,1108,12,repairs,28
1,male,2,own,little,not_known,618,12,radio/TV,56
1,male,2,own,little,little,1409,12,car,54
0,female,1,own,not_known,not_known,797,12,radio/TV,33
1,male,2,rent,not_known,rich,3617,24,furniture/equipment,20
1,male,2,own,rich,moderate,1318,12,car,54
0,male,2,rent,little,moderate,15945,54,business,58
1,female,2,own,not_known,not_known,2012,12,education,61
1,male,2,own,moderate,moderate,2622,18,business,34
1,male,2,own,little,moderate,2337,36,radio/TV,36
1,male,3,rent,not_known,moderate,7057,20,car,36
1,male,1,rent,moderate,not_known,1469,24,car,41
1,male,2,rent,little,moderate,2323,36,radio/TV,24
1,female,2,own,little,not_known,932,6,radio/TV,24
1,male,2,rent,little,moderate,1919,9,furniture/equipment,35
1,male,2,rent,not_known,not_known,2445,12,car,26
0,male,3,own,little,moderate,11938,24,vacation/others,39
0,male,3,own,little,not_known,6458,18,car,39
1,male,2,own,little,moderate,6078,12,car,32
1,female,2,own,not_known,little,7721,24,furniture/equipment,30
